,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Max Temp,Wind Speed
0,lima,PE,2020-05-15,-12.04,-77.03,88,90,291.15,3.6
1,fortuna,US,2020-05-15,40.6,-124.16,93,1,284.26,0.99
2,kapaa,US,2020-05-15,22.08,-159.32,78,1,297.15,2.1
3,jamestown,US,2020-05-15,42.1,-79.24,100,90,288.15,4.6
4,butaritari,KI,2020-05-15,3.07,172.79,70,9,301.74,2.3
5,mataura,NZ,2020-05-15,-46.19,168.86,87,0,279.67,1.16
6,carnarvon,AU,2020-05-15,-24.87,113.63,24,0,300.47,3.58
7,ushuaia,AR,2020-05-15,-54.8,-68.3,74,50,276.15,2.6
8,punta arenas,CL,2020-05-15,-53.15,-70.92,93,40,276.15,3.6
9,hilo,US,2020-05-15,19.73,-155.09,65,90,299.15,1.5
10,tuktoyaktuk,CA,2020-05-15,69.45,-133.04,92,90,268.15,6.2
11,longyearbyen,SJ,2020-05-15,78.22,15.64,74,75,276.15,10.8
12,east london,ZA,2020-05-15,-33.02,27.91,66,40,285.15,0.5
13,khatanga,RU,2020-05-15,71.97,102.5,95,9,274.02,1.86
14,paris,FR,2020-05-15,48.85,2.35,70,0,280.93,5.7
15,saint-joseph,RE,2020-05-15,-21.37,55.62,47,17,300.15,1.0
16,sobolevo,RU,2020-05-15,54.43,31.9,64,17,280.12,5.07
17,margate,GB,2020-05-15,51.38,1.39,68,0,282.59,2.24
18,alice springs,AU,2020-05-15,-23.7,133.88,22,0,293.15,5.7
19,yangambi,CD,2020-05-15,0.81,24.43,83,100,296.93,0.5
20,jurm,AF,2020-05-15,36.86,70.83,29,0,291.24,0.62
21,purranque,CL,2020-05-15,-40.92,-73.17,93,100,287.15,3.1
22,albany,US,2020-05-15,42.6,-73.97,45,90,290.15,3.1
23,upernavik,GL,2020-05-15,72.79,-56.15,96,71,273.51,2.06
24,zhigansk,RU,2020-05-15,66.77,123.37,61,21,281.63,6.49
25,talnakh,RU,2020-05-15,69.49,88.4,55,20,276.15,6.0
